#fields=ID[type='string'],station name[type='string'],latitude,longitude,ellipsoid height[unit='m'],data_start_time[type='date' format='yyyy-MM-ddTHH:mm:ss],data_stop_time[type='date' format='yyyy-MM-ddTHH:mm:ss]
ALBH,Albert Head_COMMA_ BC,48.389,-123.487,0.0,,
ARLI,Arlington_COMMA_ WA,48.174,-122.1418,0.0,,
ARLN,Arlington_COMMA_ OR,45.7082,-120.1832,0.0,,
ASHL,Ashland_COMMA_ OR,42.1806,-122.6701,0.0,,
AXIS,E. Wenatchee_COMMA_ WA,47.4043,-120.2847,0.0,,
BAYV,Bayview_COMMA_ WA,48.002,-122.4578,0.0,,
BCIT,Bellevue_COMMA_ WA,47.614,-122.191,0.0,,
BELI,Bellingham_COMMA_ WA,48.7552,-122.4789,0.0,,
BELV,Bellevue_COMMA_ WA,47.5985,-122.1827,0.0,,
BEND,Bend_COMMA_ OR,44.0571,-121.3151,0.0,,
BFIR,Bellevue_COMMA_ WA,47.6174,-122.1255,0.0,,
BILS,Queets_COMMA_ WA,47.5393,-124.2525,0.0,,
BLVU,Bellevue_COMMA_ WA,47.5991,-122.1831,0.0,,
BLY1,Bly_COMMA_ OR,42.4068,-121.049,0.0,,
BLYN,Sequim_COMMA_ WA,48.0057,-122.5539,0.0,,
BPKT,Kittitas_COMMA_ WA,46.883,-120.3267,0.0,,
BSUM,Newcastle_COMMA_ WA,47.554,-122.1319,0.0,,
BTON,Beaverton_COMMA_ OR,45.4858,-122.7974,0.0,,
CABL,Cape Blanco_COMMA_ OR,42.8361,-124.5633,0.0,,
CAMI,Camano Island_COMMA_ WA,48.2153,-122.4786,0.0,,
CATH,Cathlamet_COMMA_ WA,46.1972,-123.3672,0.0,,
CH2M,Snoqualmie_COMMA_ WA,47.5266,-121.8261,0.0,,
CHCM,Chimacum_COMMA_ WA,48.0106,-122.7758,0.0,,
CHEM,Chemalt_COMMA_ OR,43.2243,-121.7858,0.0,,
CHZZ,Tillamook_COMMA_ OR,45.4865,-123.9781,0.0,,
CLRS,Cowichan Lake_COMMA_ BC,48.8203,-124.1308,0.0,,
CNCR,Concrete_COMMA_ WA,48.5387,-121.7492,0.0,,
COBO,Coboon_COMMA_ OR,45.2379,-120.1813,0.0,,
COND,Condon_COMMA_ OR,45.2379,-120.1813,0.0,,
CORV,Corvallis_COMMA_ OR,44.5855,-123.3046,0.0,,
COUG,Cougar_COMMA_ WA,46.0592,-122.2607,0.0,,
COUP,Coupeville_COMMA_ WA,48.2171,-122.6848,0.0,,
CPUD,Wenatchee_COMMA_ WA,47.4301,-120.3142,0.0,,
CPXF,Charles Pack Experimental Forest_COMMA_ WA,46.84,-122.2565,0.0,,
CPXX,Charles Packwood Experimental Forest_COMMA_ WA,46.8401,-122.2565,0.0,,
CROK,Castle Rock_COMMA_ WA,46.2745,-122.9125,0.0,,
CSHR,Longmire_COMMA_ WA,46.5214,-121.4356,0.0,,
CSKI,Kent_COMMA_ WA,47.3805,-122.2357,0.0,,
CTPT,Central Point_COMMA_ OR,42.3766,-122.8939,0.0,,
CUSH,Lake Cushman_COMMA_ WA,47.4233,-123.2199,0.0,,
CVO1,Vancouver_COMMA_ WA,45.6109,-122.4961,0.0,,
DCSO,Roseburg_COMMA_ OR,43.1239,-123.2029,0.0,,
DDSN,Dodson Butte_COMMA_ OR,43.1188,-123.2442,0.0,,
DEA2,Bellingham_COMMA_ WA,48.7527,-122.48,0.0,,
DEA3,Portland_COMMA_ OR,45.5069,-122.6727,0.0,,
DEEJ,Amanda Park_COMMA_ WA,47.4688,-123.9261,0.0,,
DWH1,Woodinville_COMMA_ WA,47.7741,-122.0801,0.0,,
ELSR,Bremerton_COMMA_ WA,47.4976,-122.7605,0.0,,
ENM1,Enumclaw_COMMA_ WA,47.2062,-121.9555,0.0,,
ENUM,Enumclaw_COMMA_ WA,47.2062,-121.9555,0.0,,
ESM1,Kingston_COMMA_ WA,47.8034,-122.5691,0.0,,
FRFX,Fairfax Forest_COMMA_ WA,47.0077,-121.9595,0.0,,
FRID,Friday Harbor_COMMA_ WA,48.535,-123.018,0.0,,
GLNW,Glenwood_COMMA_ WA,46.0198,-121.2887,0.0,,
GLWD,Glenwood_COMMA_ WA,46.0198,-121.2886,0.0,,
GOBS,Goldendale_COMMA_ WA,45.8388,-120.8147,0.0,,
GOLY,Goldendale_COMMA_ WA,45.8286,-120.8024,0.0,,
GRMD,Grand Mound_COMMA_ WA,46.7954,-123.0225,0.0,,
GRP4,Arlington_COMMA_ WA,48.1946,-122.1272,0.0,,
GRSV,Grass Valley_COMMA_ OR,45.3644,-120.7874,0.0,,
GTPS,Grants Pass_COMMA_ OR,42.4344,-123.2973,0.0,,
HAHD,Palmer_COMMA_ WA,47.2907,-121.788,0.0,,
HGP1,Tumwater_COMMA_ WA,47.0193,-122.921,0.0,,
HLSY,Halsey_COMMA_ OR,44.3775,-123.1091,0.0,,
HTCH,Cle Elum_COMMA_ WA,47.1915,-120.9657,0.0,,
HUSB,Husband Butte_COMMA_ OR,44.071,-121.5057,0.0,,
IWAC,Ilwaco_COMMA_ WA,46.3058,-124.0394,0.0,,
JIME,Hillsboro_COMMA_ OR,45.5231,-122.9905,0.0,,
JOBO,Edison_COMMA_ WA,48.5624,-122.4373,0.0,,
JRO1,Johnston Ridge Observatory_COMMA_ WA,46.2751,-122.2176,0.0,,
KELS,Kelso_COMMA_ WA,46.1182,-122.8961,0.0,,
KFRC,Klamath Falls_COMMA_ OR,42.2241,-121.7838,0.0,,
KNTP,Kent_COMMA_ WA,47.4251,-122.2575,0.0,,
KRMT,Lynwood_COMMA_ WA,47.8028,-122.3209,0.0,,
KTBW,Bremerton_COMMA_ WA,47.5473,-122.7954,0.0,,
LA_P,La Pine_COMMA_ OR,43.6646,-121.506,0.0,,
LCSO,Albany_COMMA_ OR,44.6343,-123.1066,0.0,,
LFLO,Florence_COMMA_ OR,43.9836,-124.1077,0.0,,
LINH,Ellensburg_COMMA_ WA,47.0003,-120.5384,0.0,,
LKCP,Sultan_COMMA_ WA,47.9444,-121.8309,0.0,,
LKVW,Lakeview_COMMA_ OR,42.172,-120.3466,0.0,,
